"Campaign_ID","Target_Audience","Age_Group","Customer_Type","Campaign_Goal","Duration","Channel_Used","Conversion_Rate","Spend","ROI","Location","Language","Clicks","Impressions","Customer_Segment","Date","Company","FullState"
578191,"Women","25-34","Women 25-34","Brand Awareness",30,"Twitter",0.12,6924.23,6.96,"New York","French",17993,54817,"Fashion",2022-12-31,"Chic Couture","New York"
737574,"Men","25-34","Men 25-34","Increase Sales",30,"Twitter",0.13,5244.02,2.11,"Las Vegas","French",13441,41332,"Fashion",2022-03-16,"Mode Maven","Nevada"
199313,"Women","25-34","Women 25-34","Brand Awareness",30,"Twitter",0.14,4998.43,4.68,"Miami","English",12767,39336,"Food",2022-06-07,"Epicurean Edge","Florida"
163358,"Women","25-34","Women 25-34","Market Expansion",30,"Instagram",0.13,6687.44,5.58,"Las Vegas","English",17343,52889,"Food",2022-10-04,"Bistro Bliss","Nevada"
149567,"Women","18-24","Women 18-24","Market Expansion",60,"Instagram",0.13,14346.04,6.42,"Las Vegas","English",37355,112167,"Fashion",2022-11-05,"Trend Tailors","Nevada"
606046,"Women","25-34","Women 25-34","Product Launch",45,"Pinterest",0.06,10977.54,0.150147701,"Los Angeles","English",17037,56458,"Fashion",2022-05-07,"Vogue Visions","California"
327645,"Men","18-24","Men 18-24","Product Launch",15,"Pinterest",0.03,3079.81,0.82044994,"Austin","English",4455,15489,"Fashion",2022-10-31,"Fiber Fashion","Texas"
601838,"Women","18-24","Women 18-24","Brand Awareness",60,"Facebook",0.14,12736.84,2.01,"Los Angeles","Spanish",33705,101356,"Fashion",2022-07-23,"Attire Artistry","California"
161662,"Men","25-34","Men 25-34","Market Expansion",30,"Facebook",0.13,4913.85,5.42,"New York","French",12537,38655,"Fashion",2022-04-19,"Attire Artistry","New York"
618477,"Women","18-24","Women 18-24","Increase Sales",30,"Pinterest",0.11,5658.83,0.868711701,"Miami","English",8556,28844,"Fashion",2022-04-17,"Attire Artistry","Florida"
467155,"Men","35-44","Men 35-44","Brand Awareness",60,"Instagram",0.11,11891.32,4.42,"New York","Spanish",31483,94773,"Fashion",2022-09-15,"Attire Artistry","New York"
317560,"Women","18-24","Women 18-24","Brand Awareness",60,"Pinterest",0.05,14741.11,0.770400706,"Las Vegas","Spanish",22336,73712,"Fashion",2022-03-04,"Attire Artistry","Nevada"
471178,"Women","25-34","Women 25-34","Increase Sales",60,"Instagram",0.11,14304.06,0.82,"Austin","English",37279,111942,"Fashion",2022-10-31,"Fiber Fashion","Texas"
851405,"Women","25-34","Women 25-34","Brand Awareness",60,"Twitter",0.1,14958.73,6.39,"Los Angeles","French",38349,115110,"Fashion",2022-07-19,"Attire Artistry","California"
581301,"Women","25-34","Women 25-34","Product Launch",60,"Instagram",0.1,14531.25,4.69,"Los Angeles","Spanish",37689,113155,"Fashion",2022-05-20,"Vogue Visions","California"
796464,"Women","25-34","Women 25-34","Market Expansion",15,"Twitter",0.11,2367.79,2.83,"Los Angeles","English",5791,18674,"Food",2022-04-14,"Epicurean Edge","California"
630463,"Women","18-24","Women 18-24","Brand Awareness",60,"Instagram",0.03,11927.23,2.35,"Austin","Spanish",31581,95063,"Food",2022-12-04,"Feast Flavors","Texas"
184244,"Men","35-44","Men 35-44","Increase Sales",60,"Twitter",0.09,12400.08,6.89,"Las Vegas","French",32826,98751,"Fashion",2022-03-14,"Fiber Fashion","Nevada"
